Komoditas Ekspor Pertanian,,,,,,,,,,,,,
,Berat Bersih Ekspor Bulanan Hasil Pertanian Menurut Komoditas (Ribu Ton),,,,,,,,,,,,
,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Sayur-sayuran,3.1,2.4,3.6,3.1,9.4,11.2,18.3,27.6,35.3,32.1,17.4,12.3,175.7
Tembakau,0.1,0.7,0.6,0.4,1.2,1.1,0.9,1.2,0.8,0.8,0.5,0.5,8.8
Jagung,0,0.1,0.1,0,0.1,0.1,40.9,14.1,0.1,0.1,0.2,0.1,55.9
Kopi,13.6,15.1,15.7,11.5,16.4,19.3,30.6,38,39.7,49.9,31.4,31.7,312.9
"Tanaman Obat, Aromatik, dan Rempah-Rempah",22,19.7,21.4,19.3,24.6,25.1,24.9,25.1,21.9,23.5,18.3,18,263.8
Lada Hitam,0.9,0.9,1.5,1.1,1.3,0.9,1.5,2.9,6,6.4,3.4,1.9,28.8
Lada Putih,1.2,0.7,1.8,1.3,2,2.1,1.6,1.1,1.6,2.2,2.7,2.4,20.7
Biji Kakao,1.6,2.1,1.1,1.3,0,2.4,0.8,0.8,0.9,0.6,0.6,1,13.2
Buah-buahan Tahunan,78.2,85.2,100.9,46.1,104.5,65.1,101.5,109.3,137.2,140.1,144.5,117.6,1230.3
Sarang Burung,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.2
Hasil Hutan Bukan Kayu Lainnya,0.4,0.7,0.4,0.4,0.5,0.3,0.4,0.6,0.5,0.5,0.6,0.4,5.6
Ikan Segar/Dingin Hasil Tangkapan,4.8,3.7,4.7,3.5,4.5,4.3,4.7,4.5,4.4,4.8,4.9,4.4,53.3
Rumput Laut dan Ganggang Lainnya,20.3,18.7,19.8,16,19.6,16.4,20.4,23.9,22.3,23.5,20.8,19.5,241.1
Lainnya,407.9,469.2,412.8,286.4,343.9,359.1,367,524.2,394.9,495.4,444.8,519.7,5025.4
Jumlah,554.2,619.3,584.5,390.5,528.1,507.5,613.6,773.4,665.7,780,690.2,729.6,7436.7