"Impor Kedelai Menurut Negara Asal Utama, 2017-2024",,,,,,,,
,,,,,,,,
Negara Asal,2017,2018,2019,2020,2021,2022,2023,2024
,Berat Bersih : 000 Kg,,,,,,,
Amerika Serikat,"2,637,125.0","2,520,253.2","2,513,311.4","2,238,480.0","2,152,633.3","1,928,076.9","1,949,365.2","2,378,735.9"
Kanada,"12,104.0","54,531.3","128,911.8","229,644.1","232,009.0","287,991.8","271,280.6","261,530.7"
Argentina,"5,000.0",0.0,0.0,633.0,"89,951.0","60,823.0","23,127.0","22,900.6"
Brasil,500.9,0.0,"18,900.0",0.0,"9,238.3","41,735.0","24,220.0",0.0
Malaysia ,"9,505.5","10,413.1","8,683.5","6,363.1","5,547.5","5,208.3","6,331.7","7,345.6"
Perancis,0.0,126.8,230.9,120.7,212.4,0.0,40.0,0.0
India,0.0,0.0,0.0,0.0,76.5,0.0,5.5,0.0
Lainnya,"7,678.7",484.7,48.8,45.8,22.5,895.8,58.2,"5,804.2"
Jumlah,"2,671,914.1","2,585,809.1","2,670,086.4","2,475,286.8","2,489,690.5","2,324,730.8","2,274,428.2","2,676,317.1"
,,,,,,,,
,Nilai CIF: 000 US$ ,,,,,,,
Amerika Serikat,"1,133,856.9","1,072,070.8","1,000,102.3","905,637.7","1,286,840.7","1,367,336.6","1,261,543.6","1,249,027.7"
Kanada,"5,882.2","24,731.1","52,700.4","94,372.2","135,895.5","186,666.2","179,070.7","137,837.2"
Argentina,"2,103.9",0.0,0.0,277.1,"52,080.4","42,981.7","15,968.3","9,649.2"
Brasil,198.5,0.0,"7,055.5",0.0,"5,348.4","26,760.2","14,158.6",0.0
Malaysia ,"5,623.2","6,001.9","4,540.1","3,024.5","2,463.5","2,733.5","3,818.2","3,279.1"
Perancis,0.0,79.8,142.0,73.4,158.9,0.0,38.0,0.0
India,0.1,0.0,0.0,0.0,34.6,0.1,9.0,0.0
Lainnya,"3,101.1",219.0,24.4,36.7,26.7,612.6,45.0,"2,789.0"
Jumlah,"1,150,766.0","1,103,102.6","1,064,564.8","1,003,421.6","1,482,848.7","1,627,090.9","1,474,651.4","1,402,582.3"
,,,,,,,,