"Impor Daging Sejenis Lembu Menurut Negara Asal Utama, 2018-2024",,,,,,,,,,,
,,,,,,,,,,,
Negara Asal,2018,2019,2020,2021,2022,2023,2024,,,,
,Berat Bersih : Ton,,,,,,,,,,
India,"79,634.0","93,970.0","76,365.4","84,954.8","105,756.3","112,601.0","113,622.9",,,,
Australia,"67,750.9","80,397.8","65,961.3","84,219.3","77,515.6","104,204.1","40,886.1",,,,
Brasil,0.0,"3,525.0","4,003.9","15,911.9","20,106.8","2,380.4","11,450.2",,,,
Amerika Serikat,"5,941.3","9,978.8","10,829.8","12,903.9","13,693.1","12,303.2","6,557.2",,,,
Selandia Baru,"6,406.6","7,347.4","7,433.4","9,945.6","7,414.8","6,361.8",156.6,,,,
Spanyol,822.7,"2,080.7","2,515.3","3,355.7","1,114.5",525.7,78.0,,,,
Lainnya,90.9,47.2,19.5,138.4,49.0,57.4,"10,432.7",,,,
Jumlah ,"160,646.3","197,346.9","167,128.6","211,429.6","225,650.1","238,433.6","183,183.7",,,,
,,,,,,,,,,,
,Nilai CIF: 000 US$ ,,,,,,,,,,
India,"283,651.2","309,848.6","263,559.5","288,448.7","321,700.9","348,848.6","395,255.7",,,,
Australia,"251,172.8","275,091.8","222,146.5","284,576.3","295,881.9","375,031.3","135,609.2",,,,
Brasil,0.0,"15,509.4","16,041.3","86,124.8","112,110.8","13,497.3","82,425.2",,,,
Amerika Serikat,"36,855.7","56,662.0","54,374.7","74,783.5","98,540.7","71,160.7","23,179.6",,,,
Selandia Baru,"24,329.6","23,250.9","19,552.7","35,216.6","26,733.2","22,435.4",302.2,,,,
Spanyol,"3,907.9","8,903.8","10,188.1","13,436.4","4,414.3","1,129.4","3,139.8",,,,
Lainnya,900.0,979.7,"1,126.3","2,561.8","2,193.4","2,175.2","47,739.8",,,,
Jumlah ,"600,817.2","690,246.1","586,989.1","785,148.1","861,575.2","834,277.9","687,651.5",,,,
Catatan :,Data dikutip dari Publikasi Statistik Indonesia,,,,,,,,,,
Sumber :,"Kementerian Keuangan (Ditjen Bea dan Cukai), dokumen PEB dan PIB",,,,,,,,,,