38 Provinsi,
,Produksi Daging Sapi menurut Provinsi (Ton)
,2022
ACEH,12014.96
SUMATERA UTARA,13859.09
SUMATERA BARAT,21514.66
RIAU,9127.69
JAMBI,5760.1
SUMATERA SELATAN,15458.87
BENGKULU,3329.27
LAMPUNG,21176.2
KEP. BANGKA BELITUNG,3395.04
KEP. RIAU,1390.39
DKI JAKARTA,17617.61
JAWA BARAT,84960.62
JAWA TENGAH,61393.95
DI YOGYAKARTA,7899.9
JAWA TIMUR,110991.18
BANTEN,17242.69
BALI,4694.03
NUSA TENGGARA BARAT,11159.01
NUSA TENGGARA TIMUR,8680.44
KALIMANTAN BARAT,5095.89
KALIMANTAN TENGAH,4113.87
KALIMANTAN SELATAN,7351.35
KALIMANTAN TIMUR,7465.56
KALIMANTAN UTARA,895.57
SULAWESI UTARA,3169.39
SULAWESI TENGAH,5967.2
SULAWESI SELATAN,16277.51
SULAWESI TENGGARA,4525.62
GORONTALO,2918.75
SULAWESI BARAT,1725.34
MALUKU,2308.12
MALUKU UTARA,1320.51
PAPUA BARAT,1506.02
PAPUA BARAT DAYA,-
PAPUA,2616.77
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,498923.14